Position,Candidate,Party,Votes,% Vote Share,Valid Votes,constituency,Year
1,Alhaj Ghulam Ahmad Bilour,ANP,25930,68.0,37941,NA-1,1997
2,Qamar Abbas,PPP,11275,29.0,37941,NA-1,1997
3,Aurangzeb Mohmand,IND,223,1.0,37941,NA-1,1997
4,Ghulam M. Bazaz,IND,193,1.0,37941,NA-1,1997
5,Rehmat Gul Afridi,IND,150,0.0,37941,NA-1,1997
6,M. Khurshid Anwar,IND,67,0.0,37941,NA-1,1997
7,Qamar Ali Shah,IND,54,0.0,37941,NA-1,1997
8,M. Jehanzeb Khan,Others,49,0.0,37941,NA-1,1997
1,Arbab M. Jehangir Khan,ANP,24094,53.0,44562,NA-2,1997
2,Haji Ghulam Ali,Others,12415,27.0,44562,NA-2,1997
3,Ibadatullah Khan,PTI,4348,10.0,44562,NA-2,1997
4,M. Fayyaz Khan Khalil,PPP-SB,1859,4.0,44562,NA-2,1997
5,Taj M. Amar,Others,645,1.0,44562,NA-2,1997
6,Arbab Mushtaq Ahmad,Others,631,1.0,44562,NA-2,1997
7,Imtiaz Illahi Paracha,IND,570,1.0,44562,NA-2,1997
1,Arbab Saadullah Khan,ANP,48451,65.0,71733,NA-3,1997
2,Sardar Ali Khan,PPP,20291,27.0,71733,NA-3,1997
3,Salim Akbar Afridi,PPP-SB,2149,3.0,71733,NA-3,1997
4,M. Naeem Qasmi,IND,842,1.0,71733,NA-3,1997
1,Wali M. Khan,ANP,43511,61.0,69326,NA-4,1997
2,Naseerullah Babar,PPP,22213,31.0,69326,NA-4,1997
3,Umar Khan Yusufzai,PTI,3022,4.0,69326,NA-4,1997
4,S. Azmat Ali Shah Gilani (R),IND,580,1.0,69326,NA-4,1997
1,Asfandyar Wali Khan,ANP,53059,51.0,101785,NA-5,1997
2,Molana Gohar Shah,Others,34733,33.0,101785,NA-5,1997
3,Ijaz Khisro Khan,PPP-SB,5508,5.0,101785,NA-5,1997
4,Ziarat Gul,IND,3818,4.0,101785,NA-5,1997
5,Hikmat Shah,IND,1919,2.0,101785,NA-5,1997
6,M. Nazeef,PKMAP,1485,1.0,101785,NA-5,1997
7,Eng. Fawad-ul-Haq,Others,1263,1.0,101785,NA-5,1997
1,Haji Naseem-ur-Rehman,ANP,36412,60.0,59939,NA-6,1997
2,Haji M. Yaqoob,PPP,15564,25.0,59939,NA-6,1997
3,Latif-ur-Rehman,PTI,7264,12.0,59939,NA-6,1997
4,Fazl-e-Azim Khaksar,Others,699,1.0,59939,NA-6,1997
1,M. Azam Khan,ANP,29117,39.0,73709,NA-7,1997
2,M. Idrees Khan,IND,17104,23.0,73709,NA-7,1997
3,Haji Sarfraz Khan,PPP,15743,21.0,73709,NA-7,1997
4,M. Zahir,PAP,4935,7.0,73709,NA-7,1997
5,Sikandar Khan,PTI,3704,5.0,73709,NA-7,1997
6,Molana Noor-ul-Haq,Others,1208,2.0,73709,NA-7,1997
7,Ziarat Khan Tormand,IND,959,1.0,73709,NA-7,1997
8,Aurangzeb Khan,Others,542,1.0,73709,NA-7,1997
9,Col. (R) Haji Syed Nasir Shah,Others,397,1.0,73709,NA-7,1997
1,Haji Rehmanullah,ANP,39828,36.0,106100,NA-8,1997
2,Iftikhar Ahmad Khan,PML-N,36589,33.0,106100,NA-8,1997
3,Munfat Khan,PPP,12279,11.0,106100,NA-8,1997
4,Asad Qaisar,PTI,4113,4.0,106100,NA-8,1997
5,Awal Sher Khan,IND,4009,4.0,106100,NA-8,1997
6,Syed Zabihullah,PPP-SB,2399,2.0,106100,NA-8,1997
7,Ayub Khan,Others,2031,2.0,106100,NA-8,1997
8,Hakim Khan,PAP,1770,2.0,106100,NA-8,1997
9,Shad Nabi,IND,1219,1.0,106100,NA-8,1997
10,Yaqoob Khan,Others,1039,1.0,106100,NA-8,1997
11,Gul Mast Khan (R),IND,683,1.0,106100,NA-8,1997
12,Abdul Hafeez Khan,IND,141,0.0,106100,NA-8,1997
1,Javed Ibrahim Paracha,PML-N,62412,64.0,95151,NA-9,1997
2,Iftikhar Hussain Gilani,IND,17142,18.0,95151,NA-9,1997
3,Syed Abid Jawad,PPP-SB,5894,6.0,95151,NA-9,1997
4,Malik Fida Muhammad,JUI-S,5082,5.0,95151,NA-9,1997
5,Alhaj M. Hafizullah,IND,4621,5.0,95151,NA-9,1997
1,Sahms-ur-Rehman,ANP,22959,40.0,55831,NA-10,1997
2,M. Aslam Khan Khattak,IND,15596,27.0,55831,NA-10,1997
3,Raza Kuli Khan Khattak,PML-N,5945,10.0,55831,NA-10,1997
4,Malik Zafar Azam,IND,5845,10.0,55831,NA-10,1997
5,Brig. (R) Bashir Hussain,PTI,2661,5.0,55831,NA-10,1997
6,Molana Mir Zaqeem Khan,JUI-S,1654,3.0,55831,NA-10,1997
7,Altaf Qadir,IND,713,1.0,55831,NA-10,1997
8,M. Riaz,IND,310,1.0,55831,NA-10,1997
9,Abdul Haleem Khattak,IND,148,0.0,55831,NA-10,1997
1,Sardar Mehtab Ahmad Khan,PML-N,55341,62.0,87263,NA-11,1997
2,Amanullah Khan Jadoon,IND,21253,24.0,87263,NA-11,1997
3,Imran Khan,PTI,5227,6.0,87263,NA-11,1997
4,S. M. Gulzar Abbasi,PPP,2509,3.0,87263,NA-11,1997
5,Rashida Batool,PPP-SB,1405,2.0,87263,NA-11,1997
6,Haji Mushtaq Awan,IND,1097,1.0,87263,NA-11,1997
7,Qari Mahboob-ur-Rehman Qureshi,Others,431,0.0,87263,NA-11,1997
1,Mian M. Nawaz Sharif,PML-N,62070,69.0,87490,NA-12,1997
2,Sardar Haider Zaman,IND,20315,23.0,87490,NA-12,1997
3,Suleman Faris,PTI,3187,4.0,87490,NA-12,1997
4,Abdul Latif Abbasi,PPP,1918,2.0,87490,NA-12,1997
1,Gohar Ayub Khan,PML-N,73150,71.0,99973,NA-13,1997
2,Khizer Hayat Khan,IND,11594,11.0,99973,NA-13,1997
3,M. Shehr Yar Khan Tareen,PTI,9067,9.0,99973,NA-13,1997
4,M. Tahir Qureshi,PPP,6162,6.0,99973,NA-13,1997
1,Sardar M. Yusuf,PML-N,46918,60.0,76199,NA-14,1997
2,Molana Syed Ghulam Nabi Shah,Others,21157,27.0,76199,NA-14,1997
3,Asif Akbar Khan,IND,6154,8.0,76199,NA-14,1997
4,Sher Baz Khan Akhundzada,IND,1127,1.0,76199,NA-14,1997
5,Abdul Sattar Khan Swati,PTI,843,1.0,76199,NA-14,1997
1,Nawabzada Salahuddin Saeed,PML-N,20438,31.0,64562,NA-15,1997
2,M. Azam Khan,IND,17631,27.0,64562,NA-15,1997
3,Zar Gul,IND,15817,24.0,64562,NA-15,1997
4,Alhaj Syed Qasim Shah,IND,9662,15.0,64562,NA-15,1997
5,Niaz Muhammad,IND,1014,2.0,64562,NA-15,1997
1,M. Nawaz Khan,PML-N,17242,48.0,34847,NA-16,1997
2,Alamzeb Khan,JUI-S,12677,36.0,34847,NA-16,1997
3,Sardar Malik Jan Muhammad,PAP,4928,14.0,34847,NA-16,1997
1,Aurangzeb,IND,10686,44.0,23231,NA-17,1997
2,Molana Abdul Baqi,PML-N,8204,34.0,23231,NA-17,1997
3,Haji Misar Khan Malik,Others,1544,6.0,23231,NA-17,1997
4,M. Siraj,IND,1410,6.0,23231,NA-17,1997
5,Gul Dad,PPP,803,3.0,23231,NA-17,1997
6,Saif-ur-Rahman,IND,342,1.0,23231,NA-17,1997
7,Haji Fazal Rehman,PPP-SB,242,1.0,23231,NA-17,1997
1,Alhaj Sardar Umer Farooq Khan,PML-N,74486,43.0,169914,NA-18,1997
2,Molana Fazal-ur-Rehman,Others,53948,31.0,169914,NA-18,1997
3,Fazal Karim Khan Kundi,IND,16720,10.0,169914,NA-18,1997
4,Imran Khan,PTI,6001,3.0,169914,NA-18,1997
5,Khalifa Abdul Qayoom,IND,5184,3.0,169914,NA-18,1997
6,Musarrat Shaheen,IND,3131,2.0,169914,NA-18,1997
7,Haji Sanaullah Khan,IND,2799,2.0,169914,NA-18,1997
8,Aminullah Khan (R),IND,2764,2.0,169914,NA-18,1997
9,Ghulam Abbas Shah Adv. (R),IND,1679,1.0,169914,NA-18,1997
10,Malik Salahuddin,IND,1212,1.0,169914,NA-18,1997
11,Nawabzada Saadat Khan,IND,1038,1.0,169914,NA-18,1997
12,M. Tariq Arbab,IND,952,1.0,169914,NA-18,1997
1,Malik Nasir Khan,PML-N,19070,29.0,63276,NA-19,1997
2,Molana Nasib Ali Shah,Others,17902,28.0,63276,NA-19,1997
3,Malik Riaz Khan,IND,8626,13.0,63276,NA-19,1997
4,Pir Syed Abbas Shah,IND,8469,13.0,63276,NA-19,1997
5,M. Zubair Khan,PTI,5229,8.0,63276,NA-19,1997
6,Abdur Rab Khan,IND,1413,2.0,63276,NA-19,1997
7,Attaullah Jan,IND,1160,2.0,63276,NA-19,1997
8,Sher Ali Baz Khan,IND,637,1.0,63276,NA-19,1997
9,M. Ali Khan,Others,425,1.0,63276,NA-19,1997
10,Noor Jehan Begum,PPP-SB,345,1.0,63276,NA-19,1997
1,Haji M. Kabir Khan Marwat,PML-N,35772,41.0,85531,NA-20,1997
2,Anwar Saifullah Khan,Others,35419,40.0,85531,NA-20,1997
3,Amir Nawaz Khan Adv.,Others,6571,8.0,85531,NA-20,1997
4,Gulo Khan,IND,3076,4.0,85531,NA-20,1997
5,Salim Saifullah Khan,IND,1443,2.0,85531,NA-20,1997
6,Molvi Ahmad Jan Ghaznawi,IND,1043,1.0,85531,NA-20,1997
7,Asif Salim,IND,1005,1.0,85531,NA-20,1997
8,Dil Nawaz Khan,IND,489,1.0,85531,NA-20,1997
9,Amanullah Khan Maidadkhel,IND,476,1.0,85531,NA-20,1997
10,Munawar Khan Adv.,IND,237,0.0,85531,NA-20,1997
1,Mian Gul Aurangzeb,PML-N,25018,39.0,61680,NA-21,1997
2,Faqir M. Khan,ANP,14402,23.0,61680,NA-21,1997
3,Imran Khan,PTI,10716,17.0,61680,NA-21,1997
4,Javed Iqbal,PPP,7593,12.0,61680,NA-21,1997
5,Molana Ubaid-ur-Rehman,Others,2740,4.0,61680,NA-21,1997
6,Abdul Wadood alias Ayeen Khan,IND,746,1.0,61680,NA-21,1997
7,Wazirzada,IND,465,1.0,61680,NA-21,1997
1,Shujaat Ali Khan,PML-N,25142,34.0,70115,NA-22,1997
2,M. Ali Khan Adv.,ANP,11297,15.0,70115,NA-22,1997
3,Shahzad Gujjar,IND,9729,13.0,70115,NA-22,1997
4,Dost M. Khan,PPP,8909,12.0,70115,NA-22,1997
5,Dr. Mehboob-ur-Rehman,IND,5908,8.0,70115,NA-22,1997
6,Molvi Abdur Rehman,Others,4746,6.0,70115,NA-22,1997
7,Mian Hassan,IND,2448,3.0,70115,NA-22,1997
8,Abdul Wadood alias Kaki Jan,PTI,1024,1.0,70115,NA-22,1997
9,Haji M. Amin,PAP,912,1.0,70115,NA-22,1997
1,Abdul Matin Khan,ANP,22662,34.0,64933,NA-23,1997
2,Fanoos Gujjar,PAP,15204,23.0,64933,NA-23,1997
3,M. Sahrab Khan,PPP,13553,20.0,64933,NA-23,1997
4,Taj M. Khan,IND,7772,12.0,64933,NA-23,1997
5,Molana Fazl-e-Wadood,Others,3352,5.0,64933,NA-23,1997
6,Amir-ul-Aman,PTI,2390,4.0,64933,NA-23,1997
1,Shahzada Mohyuddin,PML-N,24302,47.0,50039,NA-24,1997
2,Maj. (R) Ahmad Syed Khan,PPP,12222,24.0,50039,NA-24,1997
3,Allah Dad,PPP-SB,6977,13.0,50039,NA-24,1997
4,Molvi Abdul Hamid Khan,Others,6538,13.0,50039,NA-24,1997
1,Inayat Khan,PML-N,23328,49.0,45943,NA-25,1997
2,Najmuddin,PPP,16370,34.0,45943,NA-25,1997
3,M. Ghulam Adv.,IND,4156,9.0,45943,NA-25,1997
4,M. Anwar Khan Adv.,IND,665,1.0,45943,NA-25,1997
5,Mir Habib Jan,IND,557,1.0,45943,NA-25,1997
6,Iftikhar Ahmad,IND,472,1.0,45943,NA-25,1997
7,Akhunzada Bahrawar Said (R),IND,395,1.0,45943,NA-25,1997
1,Alhaj M. Khan,PML-N,33477,48.0,67765,NA-26,1997
2,M. Humayun Khan,PPP,22413,32.0,67765,NA-26,1997
3,Zamin Ahmad Khan,IND,4812,7.0,67765,NA-26,1997
4,Zafar Khan,PAP,3828,5.0,67765,NA-26,1997
5,Mian Atta-ur-Rehman,PTI,2246,3.0,67765,NA-26,1997
6,Alamgir Khan,IND,989,1.0,67765,NA-26,1997
1,Bahroz Khan,IND,8725,15.0,56134,NA-27,1997
2,Abdul Wadood,IND,8598,15.0,56134,NA-27,1997
3,Abdur Rehman,IND,5628,10.0,56134,NA-27,1997
4,Ghulam M. Sadiq,IND,4702,8.0,56134,NA-27,1997
5,Tahir Akbar,IND,3872,7.0,56134,NA-27,1997
6,Mehruban Shah,IND,3516,6.0,56134,NA-27,1997
7,Qadar Gul,IND,3254,6.0,56134,NA-27,1997
8,Manzoor,IND,2660,5.0,56134,NA-27,1997
9,Sherzada,IND,2324,4.0,56134,NA-27,1997
10,Nisar Ahmad,IND,2132,4.0,56134,NA-27,1997
11,M. Saeed,IND,1714,3.0,56134,NA-27,1997
12,Nayyar Zaman,IND,1423,2.0,56134,NA-27,1997
13,Said Qahar,IND,1325,2.0,56134,NA-27,1997
14,M. Zahir Shah,IND,1039,2.0,56134,NA-27,1997
15,Fazal Subhan,IND,877,2.0,56134,NA-27,1997
16,Zahir Shah Gurbaz,IND,694,1.0,56134,NA-27,1997
17,Gul Badshah,IND,564,1.0,56134,NA-27,1997
18,Swat Khan,IND,441,1.0,56134,NA-27,1997
19,Gulam Qadir,IND,371,1.0,56134,NA-27,1997
20,Abdul Wahid,IND,286,1.0,56134,NA-27,1997
21,Zareen Khan,IND,265,0.0,56134,NA-27,1997
22,Azmat Khan,IND,240,0.0,56134,NA-27,1997
23,Zahir Shah,IND,194,0.0,56134,NA-27,1997
24,Hussain Shah,IND,158,0.0,56134,NA-27,1997
25,Bakht Muhammad,IND,155,0.0,56134,NA-27,1997
26,Rooman,IND,148,0.0,56134,NA-27,1997
27,Amin-ul-Haq,IND,146,0.0,56134,NA-27,1997
28,Ilyas Khan,IND,142,0.0,56134,NA-27,1997
29,Attaullah,IND,136,0.0,56134,NA-27,1997
30,Bakht Jamal,IND,104,0.0,56134,NA-27,1997
31,Jehangir,IND,84,0.0,56134,NA-27,1997
32,Haroon,IND,77,0.0,56134,NA-27,1997
33,Iqbal,IND,55,0.0,56134,NA-27,1997
34,Gul Muhammad,IND,54,0.0,56134,NA-27,1997
35,Javed Yusuf,IND,31,0.0,56134,NA-27,1997
1,Zarin Khan Mengal,IND,36275,28.0,126098,NA-28,1997
2,Syed Sajjad Hussain Mian,IND,22384,17.0,126098,NA-28,1997
3,Col. (R) Syed Sajjad Hussain,IND,18759,15.0,126098,NA-28,1997
4,Haji Kamal Hussain,IND,15835,12.0,126098,NA-28,1997
5,Sher Muhammad,IND,6425,5.0,126098,NA-28,1997
6,Salahuddin,IND,6362,5.0,126098,NA-28,1997
7,Syed Altaf Hussain,IND,2953,2.0,126098,NA-28,1997
8,Haji Muqarab Hussain,IND,2842,2.0,126098,NA-28,1997
9,Malik Multan,IND,2311,2.0,126098,NA-28,1997
10,Sharif Gul,IND,6,0.0,126098,NA-28,1997
10,Malik Kh. M. Khan,IND,6,0.0,126098,NA-28,1997
10,Haji Barkat Shah,IND,5,0.0,126098,NA-28,1997
10,Nawab Ali,IND,5,0.0,126098,NA-28,1997
10,Haji Gul Muhammad,IND,4,0.0,126098,NA-28,1997
10,Eng. Rashid Ahmad Khan,IND,3,0.0,126098,NA-28,1997
10,Haji Shah Wali Khan,IND,2,0.0,126098,NA-28,1997
10,Malik Suhbat Khan,IND,2,0.0,126098,NA-28,1997
10,Syed Yusuf Hussain,IND,2270,2.0,126098,NA-28,1997
11,Shamal Syed Mian,IND,1255,1.0,126098,NA-28,1997
12,Shaukat Hussain,IND,1081,1.0,126098,NA-28,1997
13,Haji Rahim Khan,IND,939,1.0,126098,NA-28,1997
14,Malik M. Naseer Khan,IND,831,1.0,126098,NA-28,1997
15,Asghar Hussain,IND,583,0.0,126098,NA-28,1997
16,M. Hussain,IND,504,0.0,126098,NA-28,1997
17,Tariq Hussain,IND,349,0.0,126098,NA-28,1997
18,Haji Sardar Khan,IND,344,0.0,126098,NA-28,1997
19,Mehdi Hussain,IND,312,0.0,126098,NA-28,1997
20,Mohabat Khan Bangash,IND,288,0.0,126098,NA-28,1997
21,Allauddin,IND,241,0.0,126098,NA-28,1997
22,Syed Sadiq Ali Shah,IND,217,0.0,126098,NA-28,1997
23,Malik Mohabat Khan,IND,192,0.0,126098,NA-28,1997
24,Ghadir Hussain,IND,157,0.0,126098,NA-28,1997
25,Nazir Hussain Hazara,IND,130,0.0,126098,NA-28,1997
26,Ali Muhammad,IND,86,0.0,126098,NA-28,1997
27,Haji Ghani-ur-Rehman,IND,83,0.0,126098,NA-28,1997
28,Niaz Muhammad,IND,82,0.0,126098,NA-28,1997
29,Zaman Khan,IND,79,0.0,126098,NA-28,1997
30,Dawood Khan,IND,77,0.0,126098,NA-28,1997
31,Zawar Jan,IND,72,0.0,126098,NA-28,1997
32,Malik Zafar Khan,IND,70,0.0,126098,NA-28,1997
33,M. Hussain,IND,68,0.0,126098,NA-28,1997
34,Rishmin Khan,IND,61,0.0,126098,NA-28,1997
35,Haji Gulbat Khan,IND,58,0.0,126098,NA-28,1997
36,Haji Mansab Ali Khan,IND,57,0.0,126098,NA-28,1997
37,Abdul Bari,IND,57,0.0,126098,NA-28,1997
38,Khaista Jan,IND,53,0.0,126098,NA-28,1997
39,Syed Sarfa raz Ali Shah,IND,52,0.0,126098,NA-28,1997
40,Habib Jan,IND,47,0.0,126098,NA-28,1997
41,Malik Gul Akbar,IND,47,0.0,126098,NA-28,1997
42,Haji Fazal Maula,IND,42,0.0,126098,NA-28,1997
43,Malik Munir Khan,IND,41,0.0,126098,NA-28,1997
44,Shah Wali,IND,40,0.0,126098,NA-28,1997
45,Mula Jan,IND,39,0.0,126098,NA-28,1997
46,Malik Machaki Khan,IND,38,0.0,126098,NA-28,1997
47,Siyal Khan,IND,37,0.0,126098,NA-28,1997
48,Habib Hussain,IND,35,0.0,126098,NA-28,1997
49,Sabir Jan,IND,35,0.0,126098,NA-28,1997
50,Wali Khan,IND,34,0.0,126098,NA-28,1997
51,Capt. (R) Noor Afridi,IND,31,0.0,126098,NA-28,1997
52,Rahmat Khan,IND,30,0.0,126098,NA-28,1997
53,Farman Ali,IND,29,0.0,126098,NA-28,1997
54,Haji M. Alam Khan,IND,27,0.0,126098,NA-28,1997
55,Haji Muzafar Khan,IND,26,0.0,126098,NA-28,1997
56,Wrakhmin Badshah,IND,26,0.0,126098,NA-28,1997
57,Haji Pir Badshah,IND,25,0.0,126098,NA-28,1997
58,Syed Zahir Shah,IND,25,0.0,126098,NA-28,1997
59,Umer Khan,IND,25,0.0,126098,NA-28,1997
60,Dr. Gul Manan,IND,24,0.0,126098,NA-28,1997
61,Malik Ashraf Khan,IND,24,0.0,126098,NA-28,1997
62,Haji Sher Hassan,IND,23,0.0,126098,NA-28,1997
63,M. Yusuf,IND,23,0.0,126098,NA-28,1997
64,Tahir Hussain,IND,22,0.0,126098,NA-28,1997
65,Malik Hanif Jan,IND,22,0.0,126098,NA-28,1997
66,Shah Noor,IND,21,0.0,126098,NA-28,1997
67,Malik Saifullah Khan Orakzai,IND,21,0.0,126098,NA-28,1997
68,Haji Hamid Khan,IND,20,0.0,126098,NA-28,1997
69,Haji Sultan Muhammad,IND,20,0.0,126098,NA-28,1997
70,M. Habib Khan,IND,20,0.0,126098,NA-28,1997
71,Dr. Abdul Janan,IND,19,0.0,126098,NA-28,1997
72,Malik Khaista Jan,IND,19,0.0,126098,NA-28,1997
73,Khadi Khan,IND,17,0.0,126098,NA-28,1997
74,Said Aslam Khan,IND,17,0.0,126098,NA-28,1997
75,Abdul Manan,IND,16,0.0,126098,NA-28,1997
76,M. Samar Din,IND,16,0.0,126098,NA-28,1997
77,Haji M. Sharif,IND,15,0.0,126098,NA-28,1997
78,Haji Suhbat Khan Orakzai,IND,14,0.0,126098,NA-28,1997
79,Haji Gul Said,IND,14,0.0,126098,NA-28,1997
80,Dr. M. Aslam Khan,IND,14,0.0,126098,NA-28,1997
81,Ghulam Nabi Khan,IND,14,0.0,126098,NA-28,1997
82,Akhunzada M. Akram,IND,13,0.0,126098,NA-28,1997
83,Malik Fakhar Zaman,IND,13,0.0,126098,NA-28,1997
84,Arbab Khan,IND,12,0.0,126098,NA-28,1997
85,Akbar Jan,IND,12,0.0,126098,NA-28,1997
86,Hayat Khan,IND,12,0.0,126098,NA-28,1997
87,Malik Mehboob Ali Khan,IND,12,0.0,126098,NA-28,1997
88,Malik Hamza Khan,IND,11,0.0,126098,NA-28,1997
89,Malik Said Abbas,IND,11,0.0,126098,NA-28,1997
90,Maj. (R) Sabit Hussain,IND,11,0.0,126098,NA-28,1997
91,Mula Jan,IND,11,0.0,126098,NA-28,1997
92,Haji M. Zaman,IND,9,0.0,126098,NA-28,1997
93,Dr. Syed Mumtaz Hussain Shah,IND,8,0.0,126098,NA-28,1997
94,Musa Jan,IND,8,0.0,126098,NA-28,1997
95,Noor Akbar,IND,8,0.0,126098,NA-28,1997
96,Malik Gul Badshah,IND,7,0.0,126098,NA-28,1997
97,Nawar Khan,IND,7,0.0,126098,NA-28,1997
98,Eng. Akhundzada M. Nawaz,IND,6,0.0,126098,NA-28,1997
99,Khewa Khan,IND,6,0.0,126098,NA-28,1997
1,Syed Munir Said,IND,9714,26.0,37009,NA-29,1997
2,M. Azad Gul,IND,8096,22.0,37009,NA-29,1997
3,M. Afzal,IND,4012,11.0,37009,NA-29,1997
4,Khan Afzal,IND,3994,11.0,37009,NA-29,1997
5,Col. (R) Amanullah Khan,IND,3481,9.0,37009,NA-29,1997
6,Shah Iran,IND,2621,7.0,37009,NA-29,1997
7,M. Nawaz,IND,2447,7.0,37009,NA-29,1997
8,M. Zarin,IND,1540,4.0,37009,NA-29,1997
9,M. Amin,IND,861,2.0,37009,NA-29,1997
10,Speen Gul,IND,243,1.0,37009,NA-29,1997
1,M. Dindar,IND,22721,44.0,50612,NA-30,1997
2,M. Ajmal Khan,IND,13376,26.0,50612,NA-30,1997
3,Said Azam,IND,4564,9.0,50612,NA-30,1997
4,M. Sharif,IND,2533,5.0,50612,NA-30,1997
5,Rehman Gul,IND,2142,4.0,50612,NA-30,1997
6,Noor Janat Gul,IND,1807,4.0,50612,NA-30,1997
7,Mashar Khan,IND,924,2.0,50612,NA-30,1997
8,Khan Azhar,IND,667,1.0,50612,NA-30,1997
9,M. Yaqoob Khan,IND,239,0.0,50612,NA-30,1997
10,Samar Gul,IND,233,0.0,50612,NA-30,1997
11,Sherin Akbar,IND,205,0.0,50612,NA-30,1997
12,M. Sher,IND,174,0.0,50612,NA-30,1997
13,M. Asghar Khan,IND,154,0.0,50612,NA-30,1997
14,M. Sharif Khan,IND,123,0.0,50612,NA-30,1997
15,Syed Mustafa Kamal,IND,105,0.0,50612,NA-30,1997
16,Awaz Khan,IND,95,0.0,50612,NA-30,1997
17,Jehanzeb,IND,84,0.0,50612,NA-30,1997
18,Said Noor Khan,IND,76,0.0,50612,NA-30,1997
19,Amal Zar,IND,72,0.0,50612,NA-30,1997
20,Mamoor Khan,IND,63,0.0,50612,NA-30,1997
21,M. Hashim,IND,55,0.0,50612,NA-30,1997
22,Janat Rehman,IND,52,0.0,50612,NA-30,1997
23,Arsalla Khan,IND,34,0.0,50612,NA-30,1997
24,Zarmali Khan,IND,28,0.0,50612,NA-30,1997
25,Rasool Din,IND,27,0.0,50612,NA-30,1997
26,Nadir Khan,IND,12,0.0,50612,NA-30,1997
27,Nasrullah Khan,IND,11,0.0,50612,NA-30,1997
28,Niamatullah Khan,IND,8,0.0,50612,NA-30,1997
29,Ashrafullah,IND,7,0.0,50612,NA-30,1997
30,Munawar Khan,IND,7,0.0,50612,NA-30,1997
31,Khurshid Muhammad,IND,6,0.0,50612,NA-30,1997
32,Khalifa Abdul Latif,IND,4,0.0,50612,NA-30,1997
33,Noor M. Khan,IND,4,0.0,50612,NA-30,1997
1,Molana Noor Muhammad,IND,25604,31.0,80140,NA-31,1997
2,Gen. (R) Alam Jan Mahsud,IND,15466,19.0,80140,NA-31,1997
3,Abdul Qayoom Khan,IND,10060,12.0,80140,NA-31,1997
4,Raza Khan,IND,9308,11.0,80140,NA-31,1997
5,Molana M. Saleh Shah,IND,4967,6.0,80140,NA-31,1997
6,Anwar Kamal Wazir,IND,4202,5.0,80140,NA-31,1997
7,Malik Mirza Alam Khan,IND,2902,4.0,80140,NA-31,1997
8,Aziz-ul-Hussain Wazir,IND,2534,3.0,80140,NA-31,1997
9,Saleem Khan,IND,1154,1.0,80140,NA-31,1997
10,M. Zaman Mahsud,IND,1063,1.0,80140,NA-31,1997
11,Haji Dashat Khan,IND,641,1.0,80140,NA-31,1997
12,Ghalib Khan,IND,496,1.0,80140,NA-31,1997
13,M. Zaman,IND,420,1.0,80140,NA-31,1997
14,Feroz Khan,IND,303,0.0,80140,NA-31,1997
15,Dilawar Khan,IND,192,0.0,80140,NA-31,1997
16,M. Amin Khan,IND,139,0.0,80140,NA-31,1997
17,Maazullah Khan,IND,131,0.0,80140,NA-31,1997
18,Abdul Karim Khan Mahsud,IND,120,0.0,80140,NA-31,1997
19,Khurshid Alam Khan,IND,100,0.0,80140,NA-31,1997
20,Atlas Khan,IND,91,0.0,80140,NA-31,1997
21,Jalal Khan,IND,65,0.0,80140,NA-31,1997
22,Sardar Hassan Khan,IND,55,0.0,80140,NA-31,1997
23,Alamzeb Khan,IND,50,0.0,80140,NA-31,1997
24,Babo Khan,IND,46,0.0,80140,NA-31,1997
25,Haji M. Kalam Khan,IND,31,0.0,80140,NA-31,1997
1,Haji Lal Karim,IND,14519,28.0,50089,NA-32,1997
2,Mian Shah Jehan,IND,8009,16.0,50089,NA-32,1997
3,M. Dawood Khan,IND,5631,11.0,50089,NA-32,1997
4,Bismillah Khan,IND,5380,10.0,50089,NA-32,1997
5,Shahabuddin Khan,IND,3748,7.0,50089,NA-32,1997
6,Haji Gulzada,IND,2433,5.0,50089,NA-32,1997
7,Molvi Abdul Haleem,IND,2388,5.0,50089,NA-32,1997
8,Said Abdul Manan jan,IND,1089,2.0,50089,NA-32,1997
9,M. Akbar,IND,727,1.0,50089,NA-32,1997
10,Malik Mahboob Jan,IND,680,1.0,50089,NA-32,1997
11,Umar Khitab Sharifkhanvi,IND,566,1.0,50089,NA-32,1997
12,M. Nawaz Khan,IND,565,1.0,50089,NA-32,1997
13,Eng. Afsar Khan,IND,535,1.0,50089,NA-32,1997
14,Akhunzada Chittan,IND,487,1.0,50089,NA-32,1997
15,Burhanuddin Khan,IND,484,1.0,50089,NA-32,1997
16,Mian Habib-ur-Rehman,IND,479,1.0,50089,NA-32,1997
17,Eng. Fazli Karim,IND,400,1.0,50089,NA-32,1997
18,Khaista Gul,IND,307,1.0,50089,NA-32,1997
19,M. Ihsanullah,IND,257,0.0,50089,NA-32,1997
20,Haji Rahman,IND,254,0.0,50089,NA-32,1997
21,Hazrat Rasool,IND,247,0.0,50089,NA-32,1997
22,Bashirullah,IND,191,0.0,50089,NA-32,1997
23,M. Rahim,IND,179,0.0,50089,NA-32,1997
24,Hafiz M. Jan,IND,177,0.0,50089,NA-32,1997
25,Adam Khan,IND,170,0.0,50089,NA-32,1997
26,Sahabzada Bahauddin,IND,142,0.0,50089,NA-32,1997
27,Malik Khanzeb,IND,45,0.0,50089,NA-32,1997
1,Abdul Latif Afridi,IND,16075,21.0,74683,NA-33,1997
